,full_name,team_name,season
294,Mikael Forssell,Chelsea,1999
295,Mikael Forssell,Finland,1999
296,Tore André Flo,Chelsea,1999
297,Tore André Flo,Norway,1999
298,Chris Sutton,Chelsea,1999
299,Chris Sutton,England,1999
300,Gabriele Ambrosetti,Chelsea,1999
301,Gabriele Ambrosetti,Italy,1999
302,Didier Deschamps,Chelsea,1999
303,Didier Deschamps,France,1999
304,Mario Melchiot,Chelsea,1999
305,Mario Melchiot,Netherlands,1999
306,Robert Wolleaston,Chelsea,1999
307,Robert Wolleaston,England,1999
308,Neil Clement,Chelsea,1999
309,Neil Clement,England,1999
310,Paul Hughes,Chelsea,1999
311,Paul Hughes,England,1999
312,Celestine Babayaro,Chelsea,1999
313,Celestine Babayaro,Nigeria,1999
314,Graeme Le Saux,Chelsea,1999
315,Graeme Le Saux,England,1999
316,Gustavo Poyet,Chelsea,1999
317,Gustavo Poyet,Uruguay,1999
318,Frank Leboeuf,Chelsea,1999
319,Frank Leboeuf,France,1999
320,Gianfranco Zola,Chelsea,1999
321,Gianfranco Zola,Italy,1999
322,Jody Morris,Chelsea,1999
323,Jody Morris,England,1999
324,Dennis Wise,Chelsea,1999
325,Dennis Wise,England,1999
326,Marcel Desailly,Chelsea,1999
327,Marcel Desailly,France,1999
328,Dan Petrescu,Chelsea,1999
329,Dan Petrescu,Romania,1999
330,Jes Högh,Chelsea,1999
331,Jes Högh,Denmark,1999
332,Bernard Lambourde,Chelsea,1999
333,Bernard Lambourde,France,1999
334,Bjarne Goldbaek,Chelsea,1999
335,Bjarne Goldbaek,Denmark,1999
336,Émerson Thome,Chelsea,1999
337,Émerson Thome,Brazil,1999
338,Samuele Dalla Bona,Chelsea,1999
339,Samuele Dalla Bona,Italy,1999
340,Roberto Di Matteo,Chelsea,1999
341,Roberto Di Matteo,Italy,1999
342,Jon Harley,Chelsea,1999
343,Jon Harley,England,1999
344,Mark Nicholls,Chelsea,1999
345,Mark Nicholls,England,1999
346,George Weah,Chelsea,1999
347,George Weah,Liberia,1999
348,Luca Percassi,Chelsea,1999
349,Luca Percassi,Italy,1999
350,Mark Draper,Aston Villa,1999
351,Mark Draper,England,1999
352,David James,Aston Villa,1999
353,David James,England,1999
354,Mark Delaney,Aston Villa,1999
355,Mark Delaney,Wales,1999
356,Steve Watson,Aston Villa,1999
357,Steve Watson,England,1999
358,Gustavo Bartelt,Aston Villa,1999
359,Gustavo Bartelt,Argentina,1999
360,Alan Wright,Aston Villa,1999
361,Alan Wright,England,1999
362,Steve Stone,Aston Villa,1999
363,Steve Stone,England,1999
364,Gareth Southgate,Aston Villa,1999
